1749	Propionibacterium raffinosaceum
2304403	Adesmia papposa subsp. radicifolia
749886	Phoma trachelii
2983184	Hopanoidivorans
1168167	Wilsoniella
218321	Palmadusta humphreysii
903987	Plumatichilos sp. JTO-2010
1405654	Petroscirtes elegans
1876595	Macrostemum XZ sp. CN7
2058668	Streptococcus phage 214
70166	Hesperomys brachiotis
30859	Pempherididae
1118997	Dryobates leucotis stejenegeri
52971	Salmonella typhimurium bacteriophage MB78
1985759	Bombus lapponicus glacialis
1421364	Paracryptops weberi
1748064	Rineloricaria sp. Betari
1931414	Trichopeziza caesia
314553	Agaricus praeclaresquamosus
1349757	Bacillus vietnamensis NBRC 101237
414621	Hemionitis viridis
2510043	Phrynobatrachus sp. BMNH_2018.5836
2992621	Meconopsis smithiana
2827039	Chasmogenus nitescens
1295373	Acidiplasma cupricumulans JCM 13668
432941	Inopeplus sp. UPOLZL0203
56171	Leucoagaricus americanus
1642405	Hamamelis mollis x Hamamelis japonica
1003153	Salmo dentex
2819682	Hydrangea paniculata var. velutina
155538	Measles virus type N
390484	Lambertia atra
910635	Erigeron asper
1373040	Chrysoryctis ochranthes
166077	Hemispingus trifasciatus
1876579	Hydropsyche nsp 2006041301
65426	Cancer locusta
1516759	Arthropoda sp. JGP0745
361525	Warramaba P169
2829312	Lustribacter
1579014	Rhacophorus leprosus phrynoderma
722785	Rhipsalis salicornoides var. stricta
720714	tachinidWood13
1096995	Acinetobacter baumannii strain BJAB07104
2914948	Anacyrtus (Rhaeboides) bonariensis
56437	Phyllopneuste reguloides
272057	Rhopaea consanginea
1548956	Platycercus barnardi macgillivrayi
1606733	Euchroeus purpuratus var. doursi
110022	Dytiscus erythrocephalus
569	Enterobacter alvei
1419247	Uragoga trisulcata
1331017	Medora dalmatina pollinensis
742817	Odoribacter laneus strain YIT 12061
2903269	Geoplana atrata
360485	Rhytida forsythi
154616	Phyllidia pustulosa
260973	Leuciscus polylepis
584537	Eriocaulon crassifolium
1961319	Persoonia cunninghamii
354	Azotobacter miscellum
512778	Hydraspis australis
1094574	Porphyra sp. strain STI377
173033	Audouinella asparagopsis
1885699	Hemiphaedusa hakonensis
119374	Inermia
1815161	Ophiomusium fallax
2491230	Andropogon dichroos
1431941	Cladosporium ferrugineum
54878	Mimosa cyclocarpa
1137087	Nostoc sp. NIES-2114
487872	Xanthomonas campestris pv. laureliae
499086	Paryphanta traversi
101708	Luzuriaga latifolia
667121	Edwardsiella tarda NBRC 105688 = ATCC 15947
1276726	Pholiotina utricystidiata
397634	Acacia gonoacantha
177573	Spongia perlevis
3920	Vigna sinensis
503570	Tricula sp. HN FG-2008
2857462	Dichochrysa parabola
1552391	Ectoedemia sp. Sorbus_Korea
619620	Olynx obscuripes
1985254	Bacillus phaseoli
3381221	Ceratopsyche albicephala
344688	Perisphaeria poduriformis
182854	Raja oxyrinchus
642856	Rhabditida sp. 4-a-5
444324	Plectonema boryanum UTEX 'B 595'
735446	Mamerthes Poole01
1406809	Norovirus Hu/GII.4/SA102512/2012/USA
1151197	Enterococcus faecalis 2924
49273	Delphinidae sp.
188616	Dryandra sessilis
1003620	Garrya ovata subsp. lindheimeri
878048	Hydrobius colon
164973	Pleurodeles verrucosus
1856371	Sphagnum contortum var. rufescens
84261	Sclerodontium secundum
162482	Agaricostilbomycetidae incertae sedis
278952	Darluca filum
146136	Myospalax rothschildi
993469	Bipinnula volckmannii
2692001	Plasmopara viticola associated Partitivirus 3
1573141	Mimusops paraensis
689726	Helix calpeana
1075102	Leptosphaeria praetermissa
2831159	Ochrocarpos yunnanensis
614139	Neophasma
1527525	Pseudomonas aeruginosa bacteriophage vB_PaeP_PPA-ABTNL
1932136	Proceros concinnus
104216	Gerronema chrysophyllum
295086	Norovirus Hu/mussels/Mos18I2004b/Ireland
