A0A0B4K6B8	A0A0B4K6B8
A0A0B4K7A6	A0A0B4K7A6
A0A5S9MMK5	A0A5S9MMK5
Q4VC44	Q4VC44
Q86B87	Q86B87
Q18225	Q18225
Q6NP69	Q6NP69
Q9XWR1	Q9XWR1
A8XJ98	A8XJ98
O08674	O08674
O74954	O74954
P28159	P28159
V6CLJ5	V6CLJ5
A0A7P0Z4N7	A0A7P0Z4N7
D6RF98	D6RF98
Q5QPV1	Q5QPV1
Q5QPV1	Q9UBG7
A0A0J9YVE0	A0A0J9YVE0
A0A7P0T7Z3	A0A7P0T7Z3
A0A7P0T7Z3	A0A7P0T821
A0A7P0T7Z3	A0A7P0TA33
A0A7P0T7Z3	D6REP3
A0A7P0T7Z3	A0A7P0T848
A0A7P0T806	A0A7P0T806
A0A7P0T9W9	A0A7P0T9W9
A0A7P0T9W9	D6RCM1
D6R927	D6R927
D6R946	D6R946
D6RBQ8	D6RBQ8
D6RBQ8	D6RA45
D6RBQ8	D6RB37
D6REC2	D6REC2
D6REC2	D6R9K5
D6REC2	D6R9X3
D6REC2	D6RAT2
D6REC2	D6RIZ8
D6RIV8	D6RIV8
D6RIV8	A0A7P0T964
E9P860	E9P860
M9PB30	M9PB30
P40798	P40798
Q12986	Q12986
Q12986	H9FUW4
Q12986	I0FS09
Q12986	U3CUH2
Q12986	U3EIZ2
Q12986	K7CSA0
Q12986	D4AE50
Q12986	B1AY10
Q12986	A6QLA0
Q12986	K9J3J4
Q8R151	Q8R151
O74853	O74853
P53971	P53971
F1LMA9	F1LMA9
F1LMA9	Q7TP99
A0A0P0WV74	A0A0P0WV74
A0A1D5NSC5	A0A1D5NSC5
A0A1P8AVZ2	A0A1P8AVZ2
A0A1P8AVZ2	Q9SY59
A0A1P8AVZ2	A0A1P8AVY4
A0A804QIW2	A0A804QIW2
A0A804QIW2	C0PEE4
A0A804QJU5	A0A804QJU5
A0A804UB47	A0A804UB47
A0A804UB47	A0A804UI81
A0A8I6AMR9	A0A8I6AMR9
A2A5R6	A2A5R6
B7PJL4	B7PJL4
E1C027	E1C027
F8W2N9	F8W2N9
Q4V7B3	Q4V7B3
Q4V7B3	A0A8I6ALJ0
Q4V7B3	F7F8T5
Q5ZEL8	Q5ZEL8
A0A0P0UYJ2	A0A0P0UYJ2
A0A1D6FEF2	A0A1D6FEF2
A0A498LJE3	A0A498LJE3
E9PZN0	E9PZN0
E9Q3K1	E9Q3K1
I3LBR7	I3LBR7
B7ZQA9	B7ZQA9
G3V7L5	G3V7L5
G3XD97	G3XD97
O14467	O14467
O95948	O95948
P03023	P03023
P0ACP7	P0ACP7
P10037	P10037
P10037	P28069
P10037	Q00286
P10037	P10036
P10037	P79364
P10037	Q04788
P10037	Q28503
P10037	Q9TTI7
P10037	B8YMT5
P10037	D0PQL6
P10037	D9ZNP5
P10037	O02706
P10037	Q2EF53
P10037	Q6P7Q8
P10180	P10180
P13528	P13528
P14859	P14859
P14859	A0A0P0GE07
P14859	A0A345S7Y2
P14859	B3KRE9
P14859	G2HJB3
P15257	P15257
P15257	P22361
P15257	Q66JY7
P16143	P16143
P20264	P20264
P20265	P20265
P20268	P20268
P23873	P23873
P23899	P23899
P24350	P24350
P25144	P25144
P27278	P27278
P27278	P24518
