human,drosophila,yeast
C9JLR9,Q95029,
Q03938,P54269,
Q8N1L9,P40656,
O95861,Q9VW97,
P08048,Q9VP20,
P10244,A0A0B4K7B6,
O14709,Q9W251,
Q9BTC8,Q8SX40,
Q68CP9,Q9W0Q9,
P54277,Q02637,
Q96A47,Q9VGW0,
O15198,X2JKS9,
P17010,Q9V439,
Q96B54,P52654,
O15265,Q8T3U4,
Q86V15,Q9U8L5,
Q5VZF2,Q9XTL3,
Q9UKJ3,Q9VF03,
Q96MR9,Q9VSY9,
P51815,Q53YG3,
Q8NE65,P10105,
Q99929,Q7YU84,
Q92522,Q9VSF2,
Q8IZ20,X2JI38,
Q7Z570,Q95RV3,
Q16649,Q9VH07,
Q9UL58,Q9VL07,
Q9H3K6,O16102,
P56693,Q9Y155,
Q9UGR2,Q9VDZ3,
Q8TF45,Q8T0L3,
Q6PJG2,Q9VB53,
Q99607,Q9VF93,
Q16670,P91623,
P50548,Q9Y0Z9,
Q06416,Q9VIZ2,
Q9UJN7,Q95TF4,
P10071,Q9VZ41,
Q9UGU5,P22058,
Q96CX3,Q8IPA8,
P78424,Q9XZU0,
P67809,Q9W3V2,
Q8NB42,Q59DX8,
Q9P215,Q9VEY3,
Q15915,Q02308,
Q8WTV1,Q9V9V9,
O94983,Q9W268,
Q6VUC0,P36958,
Q96LW1,Q9VEF3,
A6NNF4,P52656,
P24278,Q9VCP0,
P11308,A1ZAW9,
P55347,Q9W5B9,
P35711,Q7K2I4,
P50219,Q8T032,
Q8N8L2,Q9W1H7,
P50607,Q9W423,
O14771,Q9VGL1,
P16671,Q8MZ19,
P13378,Q8MYL2,
P52738,Q9W4E8,
Q9BRJ9,Q9GYU7,
P01871,Q9W1X7,
Q01851,Q9VTE6,
P52744,Q86P06,
O75534,P05205,
O95201,Q9VEF0,
Q8IXF0,Q9VEC1,
Q03933,Q9VGR8,
O95780,Q9VT75,
Q9UMR3,Q8MSB3,
Q96QC0,P07247,
Q8N9K5,Q9VR61,
O14593,Q9VHB7,
Q96EG3,Q8SZ05,
Q9H8X9,Q9W2P8,
Q9NYD6,Q8IGG4,
Q8IZP6,Q8SY24,
O15156,Q24090,
Q9NQ87,P10083,
Q53GS9,Q9VIF0,
P23769,Q9VD28,
Q01167,Q9VK21,
Q6IV72,Q7K187,
A6NHJ4,Q9W373,
P04198,Q9VRD5,
Q6ZN08,Q9VB52,
P43699,Q960Q9,
Q9UK11,P08970,
Q8N2R0,Q9VGE6,
Q9H0M5,Q9VLR5,
P17481,Q9Y0I1,
O14896,Q9VQ56,
Q8IV32,Q8IN81,
Q9HAH1,Q8T092,
Q99459,P48810,
Q5T8P6,Q9VP77,
Q13888,Q960C3,
P08F94,Q9VLX2,
Q13469,Q8SZN0,
Q14526,Q8MLW7,
Q8N988,Q95T66,
O95343,Q7K161,
O75360,Q9VKQ7,
